FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
36,2017-02-19,Falcon 9,,,Unknown Pad,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,,
37,2017-03-16,Falcon 9,,,Unknown Pad,None None,1,False,False,False,,,,,,
38,2017-03-30,Falcon 9,,,Unknown Pad,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
39,2017-05-01,Falcon 9,,,Unknown Pad,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,,
40,2017-05-15,Falcon 9,,,Unknown Pad,None None,1,False,False,False,,,,,,
41,2017-06-03,Falcon 9,,,Unknown Pad,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,,
42,2017-06-23,Falcon 9,,,Unknown Pad,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
43,2017-06-25,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,,
44,2017-07-05,Falcon 9,,,Unknown Pad,None None,1,False,False,False,,,,,,
45,2017-08-14,Falcon 9,,,Unknown Pad,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,,
46,2017-08-24,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,,
47,2017-09-07,Falcon 9,,,Unknown Pad,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,,
48,2017-10-09,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,,
49,2017-10-11,Falcon 9,,,Unknown Pad,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
50,2017-10-30,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
51,2017-12-15,Falcon 9,,,Unknown Pad,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,,,,,
52,2017-12-23,Falcon 9,,,Unknown Pad,True Ocean,2,True,True,False,,,,,,
53,2018-01-08,Falcon 9,,,Unknown Pad,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,,
54,2018-01-31,Falcon 9,,,Unknown Pad,True Ocean,2,True,True,True,,,,,,
56,2018-02-22,Falcon 9,,,Unknown Pad,None None,2,True,True,False,,,,,,
57,2018-03-06,Falcon 9,,,Unknown Pad,None None,1,True,False,True,,,,,,
58,2018-03-30,Falcon 9,,,Unknown Pad,None None,2,True,True,True,,,,,,
59,2018-04-02,Falcon 9,,,Unknown Pad,None None,2,True,True,True,,,,,,
60,2018-04-18,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
61,2018-05-11,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
62,2018-05-22,Falcon 9,,,Unknown Pad,None None,2,True,True,False,,,,,,
63,2018-06-04,Falcon 9,,,Unknown Pad,None None,2,False,True,False,,,,,,
64,2018-06-29,Falcon 9,,,Unknown Pad,None None,2,False,True,False,,,,,,
65,2018-07-22,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
66,2018-07-25,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,,
67,2018-08-07,Falcon 9,,,Unknown Pad,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
68,2018-09-10,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
69,2018-10-08,Falcon 9,,,Unknown Pad,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,,,,,
70,2018-11-15,Falcon 9,,,Unknown Pad,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
71,2018-12-03,Falcon 9,,,Unknown Pad,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,,,,,
72,2018-12-05,Falcon 9,,,Unknown Pad,False RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,,
73,2018-12-23,Falcon 9,,,Unknown Pad,None None,1,False,False,False,,,,,,
74,2019-01-11,Falcon 9,,,Unknown Pad,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,,,,,
75,2019-02-22,Falcon 9,,,Unknown Pad,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
76,2019-03-02,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
78,2019-05-04,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
79,2019-05-24,Falcon 9,,,Unknown Pad,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
80,2019-06-12,Falcon 9,,,Unknown Pad,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,,,,,
82,2019-07-25,Falcon 9,,,Unknown Pad,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,,,,,
83,2019-08-06,Falcon 9,,,Unknown Pad,None None,3,False,True,False,,,,,,
84,2019-11-11,Falcon 9,,,Unknown Pad,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
85,2019-12-05,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
86,2019-12-17,Falcon 9,,,Unknown Pad,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
87,2020-01-07,Falcon 9,,,Unknown Pad,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
88,2020-01-19,Falcon 9,,,Unknown Pad,None None,4,False,True,False,,,,,,
89,2020-01-29,Falcon 9,,,Unknown Pad,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
90,2020-02-17,Falcon 9,,,Unknown Pad,False ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
91,2020-03-07,Falcon 9,,,Unknown Pad,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,,,,,
92,2020-03-18,Falcon 9,,,Unknown Pad,False ASDS,5,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
93,2020-04-22,Falcon 9,,,Unknown Pad,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
94,2020-05-30,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
95,2020-06-04,Falcon 9,,,Unknown Pad,True ASDS,5,True,True,True,5e9e3033383ecbb9e534e7cc,,,,,
96,2020-06-13,Falcon 9,,,Unknown Pad,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
97,2020-06-30,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,,
98,2020-07-20,Falcon 9,,,Unknown Pad,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,,,,,
99,2020-08-07,Falcon 9,,,Unknown Pad,True ASDS,5,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
100,2020-08-18,Falcon 9,,,Unknown Pad,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
101,2020-08-30,Falcon 9,,,Unknown Pad,True RTLS,4,True,True,True,5e9e3032383ecb267a34e7c7,,,,,
102,2020-09-03,Falcon 9,,,Unknown Pad,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
103,2020-10-06,Falcon 9,,,Unknown Pad,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
104,2020-10-18,Falcon 9,,,Unknown Pad,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
105,2020-10-24,Falcon 9,,,Unknown Pad,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,,,,,
106,2020-11-05,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
